user,location,text
JeanUckerman,Colombia,"#Anonymous lo hizo otra vez, 3 ataques en este dia para seguir en la lucha a muerte contra el #MalditoUribismo vamo… https://t.co/Z6kqKdlHTc"
PipeTorres9705,,"VAMOS TODOS AL LIVE DE YOUTUBE DE LA ONU YA MISMO!!! A COMENTAR  🇨🇴S. O. S  C O L O M B I A🇨🇴

YAYAYAYA:… https://t.co/UChOMp9whB"
UnMalPresagio,"Bogotá, Colombia","Ahora que algunos ven el potencial de #Anonymous ya saben el potencial de saber de tecnología, no solo para memes. #ParoNacional4M"
Adolfo_Balaguer,Noruega         ,Ni #Anonymous podrá tumbar mi amor por ti. https://t.co/s4BQhFIeYq
dinastiaflorez1,Shangri-La,"@Anonymous_CO @IvanDuque Haganle, espero q tengan los zapatos para bailar !!!

#Anonymous #AnonymousColombia"
andresusechej,Bogotá,"Yo aquí, esperando que a los de #Anonymous se les dé por entrar a las paginas del ICETEX y Datacredito a borrar mis… https://t.co/vwCP431yKN"
Anonymous_Latin,,"En Latinoamérica tenemos muchas diferencias y opiniones de cada país pero cuando se trata de alguna injusticia, nos… https://t.co/RB87JS60a9"
Anonymous_CO,Colombia,"Fuga de datos del senado de Colombia. 💀

Puedes acceder a estos datos desde aquí: https://t.co/ZRg9m47li7… https://t.co/pzB3wE14HN"
Stvn291,"Bogotá, D.C., Colombia","Muy Bien Nos Han Escuchado
Sigamos Difundiendo 
#AnonymousColombia #Anonymous #DuqueAsesino #SOSColombiaDDHH… https://t.co/4knrlpC0jc"
jj_mirand,"Bogotá, D.C., Colombia","Quieren ver porno, intenten cargar la pagina de la Presidencia, los pobres ingenieros suben páginas de respaldo y #Anonymous se las baja"
Moiale7,Bolivia,"pues yo jamas vi algo como lo de #colombia, pero me sorprende mas la ""inactividad complice "" de la #CIDH por que no… https://t.co/TMvEm1XlCr"
1tintico,,"@05JOSE31 @LinaLeo73908100 Vuelva y mire!! Lo hice desde el celular y esta tumbada!!!
#Anonymous https://t.co/M6ROr0JLmF"
AlexCrokCo,"Bogota, Colombia","FUERZA COLOMBIA 
#Anonymous 
#SOSColmbia
#NosEstanMatando https://t.co/mXNetfFTxF"
Angelav62392645,,El que vea esa película es paraco #ParoNacional4M #Anonymous #28AbrilParoNacional #ColombiaEnAlertaRoja https://t.co/pw96KK5E1k
Ocampo__01,,#DuqueAsesino #Anonymous NO ESTAMOS SOLOS 🇦🇲 https://t.co/fW5KbEuhFf
ConTodaCol,"Bogotá, DC, Colombia","Disparan A Un Grupo De Jóvenes Que Se Encontraba Grabando Lejos.
Se Escuchan Como Pasan Las Balas Cerca De Ellos.🇨🇴… https://t.co/rXWHh6312W"
luishdi,,@NoticiasCaracol página Presidencia HACKEADA - #Anonymous
cesardque,cali-colombia,"#Anonymous
Que salga a la luz lo que está pasando en Colombia"
