user,location,text,sentiment,probability
Rendon1806,"Dosquebradas, Colombia","#Anonymous se bajó estás tres página web en 1 día jeje
1. Senado de la Republica
2. Ejército nacional
3. Presidenci… https://t.co/gWOz2DuwyX",Positivo,66
brittanylrg,Cali - Colombia,"Gracias mi amor lo estás haciendo de maravilla, eres mi héroe!!! #Anonymous #AnonymousColombia  @AnonymousOpCOL https://t.co/E7DqFRVza4",Positivo,87
Ocampo__01,,Esos que no comparten nada de lo qué pasa en Colombia qué por miedo a que les suspendan la cuenta 🤡🤡🤡🤡🤡🤡🤡🤡… https://t.co/MWs8kL1syw,Negativo,54
JuanGui_RMCF,Colombia,"#Anonymous
Esas contraseñas de los soldados mamitas, ranita,computadora 😬😂😂 ahora no son tan rudos 😅😬😂",Positivo,60
straykids4e,,"‼️🚨DIFUNDIR URGENTEMENTE 🚨‼️@AnonymousOpCOL  VIENEN AL RESCATE 🚨‼️✊🏻🇨🇴
Colombia sigue en lucha ✊🏻🇨🇴
#Anonymous… https://t.co/20P0RXqVTk",Positivo,57
JeanUckerman,Colombia,"#Anonymous lo hizo otra vez, 3 ataques en este dia para seguir en la lucha a muerte contra el #MalditoUribismo vamo… https://t.co/Z6kqKdlHTc",Positivo,58
PipeTorres9705,,"VAMOS TODOS AL LIVE DE YOUTUBE DE LA ONU YA MISMO!!! A COMENTAR  🇨🇴S. O. S  C O L O M B I A🇨🇴

YAYAYAYA:… https://t.co/UChOMp9whB",Positivo,73
UnMalPresagio,"Bogotá, Colombia","Ahora que algunos ven el potencial de #Anonymous ya saben el potencial de saber de tecnología, no solo para memes. #ParoNacional4M",Positivo,57
Adolfo_Balaguer,Noruega         ,Ni #Anonymous podrá tumbar mi amor por ti. https://t.co/s4BQhFIeYq,Positivo,70
dinastiaflorez1,Shangri-La,"@Anonymous_CO @IvanDuque Haganle, espero q tengan los zapatos para bailar !!!

#Anonymous #AnonymousColombia",Positivo,63
andresusechej,Bogotá,"Yo aquí, esperando que a los de #Anonymous se les dé por entrar a las paginas del ICETEX y Datacredito a borrar mis… https://t.co/vwCP431yKN",Positivo,68
Anonymous_Latin,,"En Latinoamérica tenemos muchas diferencias y opiniones de cada país pero cuando se trata de alguna injusticia, nos… https://t.co/RB87JS60a9",Positivo,63
Anonymous_CO,Colombia,"Fuga de datos del senado de Colombia. 💀

Puedes acceder a estos datos desde aquí: https://t.co/ZRg9m47li7… https://t.co/pzB3wE14HN",Positivo,66
Stvn291,"Bogotá, D.C., Colombia","Muy Bien Nos Han Escuchado
Sigamos Difundiendo 
#AnonymousColombia #Anonymous #DuqueAsesino #SOSColombiaDDHH… https://t.co/4knrlpC0jc",Positivo,74
jj_mirand,"Bogotá, D.C., Colombia","Quieren ver porno, intenten cargar la pagina de la Presidencia, los pobres ingenieros suben páginas de respaldo y #Anonymous se las baja",Positivo,53
Moiale7,Bolivia,"pues yo jamas vi algo como lo de #colombia, pero me sorprende mas la ""inactividad complice "" de la #CIDH por que no… https://t.co/TMvEm1XlCr",Positivo,68
1tintico,,"@05JOSE31 @LinaLeo73908100 Vuelva y mire!! Lo hice desde el celular y esta tumbada!!!
#Anonymous https://t.co/M6ROr0JLmF",Positivo,65
AlexCrokCo,"Bogota, Colombia","FUERZA COLOMBIA 
#Anonymous 
#SOSColmbia
#NosEstanMatando https://t.co/mXNetfFTxF",Positivo,68
Angelav62392645,,El que vea esa película es paraco #ParoNacional4M #Anonymous #28AbrilParoNacional #ColombiaEnAlertaRoja https://t.co/pw96KK5E1k,Positivo,63
Ocampo__01,,#DuqueAsesino #Anonymous NO ESTAMOS SOLOS 🇦🇲 https://t.co/fW5KbEuhFf,Positivo,64
ConTodaCol,"Bogotá, DC, Colombia","Disparan A Un Grupo De Jóvenes Que Se Encontraba Grabando Lejos.
Se Escuchan Como Pasan Las Balas Cerca De Ellos.🇨🇴… https://t.co/rXWHh6312W",Positivo,63
luishdi,,@NoticiasCaracol página Presidencia HACKEADA - #Anonymous,Positivo,59
cesardque,cali-colombia,"#Anonymous
Que salga a la luz lo que está pasando en Colombia",Positivo,52
itsjohanana,Colombia,"#Anonymous tumbaron la página del ejército y del senado pa cuando la del ICETEX? Jajajaa 

Ojalá tumben todo lo que… https://t.co/u1TOqaFXQi",Positivo,69
amalece,Colombia,Pagar mal por mal jamás será la solución #Anonymous,Negativo,81
JohanCaviedes,Bogotá - Colombia,"Quieren legitimar las masacres perpetradas en Cali
#SOSColombia #SOSColombiaDDHH #SOSCali 
#Anonymous https://t.co/QmyZxdA13o",Positivo,63
JorgeAndres_89,,"#Anonymous Gracias por lo que hicieron. Ahora, protestantes, ustedes, que salen a marchar, son los héroes más tesos… https://t.co/voTPySnusd",Positivo,82
SoymaryYluz,𝓒𝓸𝓵𝓸𝓶𝓫𝓲𝓪-𝓑𝓸𝓰𝓸𝓽𝓪 ,"@josegreghg @CConstitucional 🚨SOS🚨 #NosEstanMatando 
#SOSColombiaDDHH #EstadoAsesino  #EstadoDeConmocionInterior 
🚨… https://t.co/58I9cZr5n7",Positivo,65
rm_yoshi,,#Anonymous silence @NoticiasRCN y @NoticiasCaracol,Positivo,60
tulito_,,"#AnonymousColombia
#Anonymous
Estos son unos tesos jajajaja van 3 en un solo día😜😜😜 https://t.co/54daO8QJtq",Positivo,55
soy__sebas22,"Santa Marta, Colombia","Tenemos que tumbar a toda esa bancada, todos están llenos de sangre del pueblo. #SOSColombiaDDHH #DuqueAsesino… https://t.co/oYCybHaa7L",Positivo,67
AnonymousOpCol1,,"#OpColombia 🔐⚙: filtraciones de la presidencia de Colombia.

 DataLeak: https://t.co/D9ZlRVaOXC 

#Anonymous: ¡La c… https://t.co/ewbXMLo5b0",Positivo,68
Colombiano1810,Colombia,#Anonymous #AnonymousColombia borre todas las cuentas de r des sociales de  @AlvaroUribeVel @IvanDuque… https://t.co/Z3LsKLQuNj,Positivo,66
Dos2marias,,"#Anonymous  ha hecho más por Colombia que Duque.  

#Anonymous #AnonymousColombia #ColombiaSOS",Positivo,60
Sebasmoraleess,"Medellín, Colombia","🇦🇲💔👏🏽 No mas al narcogobierno, no mas al presidente narcoparamilitar ivan duque, no mas a su jefe genocida norcopar… https://t.co/wkk0yks9IN",Positivo,74
TinOrtiz5,,"@AnonymousOpCOL @AlvaroUribeVel 🇦🇲💔👏🏽 No mas al narcogobierno, no mas al presidente narcoparamilitar ivan duque, no… https://t.co/bPS0p2SR0t",Positivo,75
yaro_torres,,Deberían hakear las cuentas del Icetex y eliminarnos a todos de ahí #Anonymous,Positivo,54
valeriiaxz,,Que tumbe las noticias 🕯🕯🕯🕯 #Anonymous,Positivo,59
Ocampo__01,,"#Anonymous RCN NO INFORMA, LO QUE HACE ES DESINFORMAR",Positivo,50
